60,10100,60,60
56.55,8850,58,58
52.2,5350,58,58
61.1,11500,61,62
46.00000000000001,950,46,46
55.099999999999994,7550,58,58
44.85,500,46,46
36.55,500,43,43
52.8,6250,43,57
65.1,13750,65,66
55.6,8500,38,60
52.400000000000006,4550,42,55
60.8,12300,64,64
62.00000000000001,12050,62,62
63.375,10500,65,65
53,5350,53,53
46.2,1250,35,49
58.3,8700,58,59
39,500,39,41
27.15,500,27,30
58,8600,58,58
56.55,7200,58,58
61.75,11650,65,65
38,500,38,38
57,8750,57,57
48.6,2900,43,50
58,10750,58,58
52.8,5450,44,55
40,500,40,40
55,7450,55,55
45.6,950,45,49
51.5,5000,51,52
53,6000,53,53
43.2,500,48,48
39,500,39,50
53.199999999999996,7050,42,58
49,3150,49,49
